,dataTagId,actual tags,description,system,systemName,systemInstance,equipment,equipmentName,equipmentInstance,component,componentName,componentInstance,subcomponent,subcomponentName,subcomponentInstance,measureLocation,measureLocationName,measureLocationInstance,measureProperty,measureType,measureUnit,measureInstance,tagType,group,limHi,limLo,limHiHi,limLoLo,limRangeHi,limRangeLo,datapoints,unique
0,LBJABJONCD,LPG_3LAB50CP102_XQ01.OUT,BFP DIS HDR PR,Bfp System,Bfp System,1,Bfp Header,Bfp Header,1,-,-,1,-,-,1,Outlet,Discharge,1,Feed Water,Pressure,Kg/Cm2,1,-,-,10000000000,-10000000000,10000000000,-10000000000,10000000000,-10000000000,161529,3982
156,SGQU6PSOZ8,LPG_3HFE25CT001_XQ02.OUT,PAF-B OL TMP,Boiler,Pcfb,1,Pa Fan,Paf-B,2,-,-,1,-,-,1,Outlet,Discharge,1,Primary Air,Temperature,Degc,1,-,-,10000000000,-10000000000,10000000000,-10000000000,10000000000,-10000000000,144404,599
244,8NBHXCGHJ5,LPG_3LBS20CP101_XQ01.OUT,LPH2 IL STM PR,Condensate Cycle,Condensate Cycle,1,Lph,Lph2,2,-,-,1,-,-,1,-,-,1,Extraction,Pressure,Kg/Cm2,1,-,-,10000000000,-10000000000,10000000000,-10000000000,10000000000,-10000000000,205917,2461
245,UJZYPNIZZJ,LPG_3LBS20CT101_XQ02.OUT,LPH2 IL STM TMP,Condensate Cycle,Condensate Cycle,1,Lph,Lph2,2,-,-,1,-,-,1,-,-,1,Extraction,Temperature,Degc,1,-,-,10000000000,-10000000000,10000000000,-10000000000,10000000000,-10000000000,141636,670
249,VIYWZTC79L,LPG_3LBS30CP101_XQ01.OUT,LPH3 IL STM PR,Condensate Cycle,Condensate Cycle,1,Lph,Lph3,3,-,-,1,-,-,1,-,-,1,Extraction,Pressure,Kg/Cm2,1,-,-,10000000000,-10000000000,10000000000,-10000000000,10000000000,-10000000000,123258,4052
250,CISDKNM08O,LPG_3LBS30CT101_XQ03.OUT,LPH3 IL STM TMP,Condensate Cycle,Condensate Cycle,1,Lph,Lph3,3,-,-,1,-,-,1,-,-,1,Extraction,Temperature,Degc,1,-,-,10000000000,-10000000000,10000000000,-10000000000,10000000000,-10000000000,128346,407
292,N9OJMRCVQD,LPG_3LBQ20CP101_XQ01.OUT,EXT STM PR HPH5 IL,Feed Water Cycle,Feed Water Cycle,1,Hph,Hph5,1,-,-,1,-,-,1,-,-,1,Extraction,Pressure,Kg/Cm2,1,-,-,10000000000,-10000000000,10000000000,-10000000000,10000000000,-10000000000,139671,3322
342,RR6ZVPERN6,LPG_3HFC03CT016_XQ03.OUT,MILL-C OL TMP,Fuel Supply,Fuel Supply,1,Pulverizer,Mill-C,3,-,-,1,-,-,1,Outlet,Outlet,1,Primary Air,Temperature,Degc,1,-,-,10000000000,-10000000000,10000000000,-10000000000,10000000000,-10000000000,124434,1698
388,OA6TDBOUEL,LPG_3MAA50DP001YQ02.OUT,TURB 1ST STG PR,Turbine System,Turbine System,1,High Pressure Turbine,Hpt,1,-,-,1,-,-,1,First Stage,First Stage,1,Steam,Pressure,Kg/Cm2,1,-,-,10000000000,-10000000000,10000000000,-10000000000,10000000000,-10000000000,176827,4798
390,VJE4DNPNDP,LPG_3LBA12CP101_XQ01.OUT,MS(L) PR HPT IL,Turbine System,Turbine System,1,High Pressure Turbine,Hpt,1,-,-,1,-,-,1,Inlet,Inlet-L,1,Main Steam,Pressure,Kg/Cm2,2,-,-,10000000000,-10000000000,10000000000,-10000000000,10000000000,-10000000000,157302,4187
404,DB8BNJD10G,LPG_3LBB12CT003_XQ03.OUT,HRH (L) TMP BFR STRNR,Turbine System,Turbine System,1,Intermediate Pressure Turbine,Ipt,1,-,-,1,Strainer,Strainer,1,Inlet,Inlet-L,1,Hrh,Temperature,Degc,1,-,-,10000000000,-10000000000,10000000000,-10000000000,10000000000,-10000000000,134877,2282
478,WRPPXBKPHN,3MSP_SP.OUT,MS PR STEPOINT,Boiler,Pcfb,1,Boiler Control,Boiler Control,1,Superheater,Superheater,1,Main Steam Pressure Controller,Main Steam Pressure Controller,1,-,-,1,Main Steam,Pressure,Kg/Cm2,1,Setpoint,-,10000000000,-10000000000,10000000000,-10000000000,10000000000,-10000000000,0,0
481,I7HGNAGCHT,3PAHDRPRSP.OUT,PA HDR PR SP,Boiler,Pcfb,1,Boiler Control,Boiler Control,1,Pa Fan,PA Fan,1,Pa Header Pressure Controller,Pa Header Pressure Controller,1,-,-,1,Primary Air,Pressure,Mmwc,1,Setpoint,-,10000000000,-10000000000,10000000000,-10000000000,10000000000,-10000000000,0,0
480,BQO0URMB63,3SHFNLSP.OUT,MS TEMP SP,Boiler,Pcfb,1,Boiler Control,Boiler Control,1,Superheater,Superheater,1,Main Steam Temperature Controller,Main Steam Temperature Controller,1,-,-,1,Main Steam,Temperature,Degc,1,Setpoint,-,10000000000,-10000000000,10000000000,-10000000000,10000000000,-10000000000,0,0
494,M3UHWAS95R,Lap3_Econ_Feed_Temp,Temperature Feed Water Economizer LPG_3 Water,Boiler,Pcfb,1,Economizer,Economizer,1,-,-,1,-,-,1,Outlet,-,-,Feed Water,Temperature,-,1,-,-,-,-,-,-,-,-,0,0
495,EAZM2MDEB4,Lap3_PSH_CRH_Pres,Pressure CRH PSH LPG_3 Pressure,Boiler,Pcfb,1,Final Superheater,Final Sh,1,-,-,1,-,-,1,Inlet,-,-,Crh,Pressure,-,1,-,-,-,-,-,-,-,-,0,0
497,G9J14LWDTU,Lap3_PSH_CRH_Temp,Temperature CRH PSH LPG_3 Steam,Boiler,Pcfb,1,Final Superheater,Final Sh,1,-,-,1,-,-,1,Inlet,-,-,Crh,Temperature,-,1,-,-,-,-,-,-,-,-,0,0
493,TYVBLEP1VY,Lap3_PSH_Main_Temp,Temperature Main Steam PSH LPG_3 Steam,Boiler,Pcfb,1,Platen Superheater,Psh,1,-,-,1,-,-,1,Outlet,-,-,Main Steam,Temperature,-,1,-,-,-,-,-,-,-,-,0,0
496,HNPMCIQEED,Lap3_Rehe_CRH_Pres,Pressure CRH Reheater LPG_3 Pressure,Boiler,Pcfb,1,Reheater,Reheater,1,-,-,1,-,-,1,Inlet,-,-,Crh,Pressure,-,1,-,-,-,-,-,-,-,-,0,0
498,ZD9ADP9MKK,Lap3_Rehe_CRH_Temp,Temperature CRH Reheater LPG_3 Steam,Boiler,Pcfb,1,Reheater,Reheater,1,-,-,1,-,-,1,Inlet,-,-,Crh,Temperature,-,1,-,-,-,-,-,-,-,-,0,0
508,PWWWS2NMHF,Lap3_Rehe_CRH_Temp_LPG_3LBB10CT103_XQ03.OUT_lmtd,Reheater LMTD,Boiler,Pcfb,1,Reheater,Reheater,1,-,-,1,-,-,1,Inlet,-,-,Steam,Delta T,-,1,-,-,10000000,-10000000,10000000,-10000000,10000000,-10000000,62043,1
492,ABBTG8UYFV,Lap3_Rehe_Main_Temp,Temperature Main Steam Reheater LPG_3 Steam,Boiler,Pcfb,1,Reheater,Reheater,1,-,-,1,-,-,1,Outlet,-,-,Main Steam,Temperature,DegC,1,-,-,-,-,-,-,-,-,0,0
503,HESSWYVMNH,LPG_3_3HHL10CF001_XQ01,Secondary Air Flow DP Transmitter Faulty,Boiler,Pcfb,1,Fd Fan,Fd FanA,1,Secondary Air Flow Path,-,1,-,-,1,-,-,1,Secondary Air,Differential Pressure,mmwc,1,-,-,-,-,-,-,-,-,0,0
504,MZSYC8UKE6,LPG_3_3HHL20CF002_XQ01,Secondary Air Flow DP Transmitter Faulty,Boiler,Pcfb,1,Fd Fan,Fd FanB,2,Secondary Air Flow Path,-,1,-,-,1,-,-,1,Secondary Air,Differential Pressure,mmwc,2,-,-,-,-,-,-,-,-,0,0
499,AHDXIZZLEQ,LPG_3_CT_CW_FLOW,Water flow,Cooling Water System,Cooling Water System 1,1,Cooling Tower,Cooling Tower 1,1,-,-,-,-,-,-,-,-,-,Cooling Water,Flow,M3/Hr,1,-,-,10000000000,-10000000000,10000000000,-10000000000,10000000000,-10000000000,0,0
501,9F88FFAAC5,LPG_3_CT_Makeup water_ESTIMATED,Estimated Make up water ,Cooling Water System,Cooling Water System,1,Cooling Tower,Cooling Tower Unit-3,1,-,-,-,-,-,-,-,-,-,Makeup Water,Flow,M3/Hr,1,-,-,10000000000,-10000000000,10000000000,-10000000000,10000000000,-10000000000,0,0
500,726ZAVNNPB,LPG_3_CT_MKP_WTR_DS,DS in make-up water,Cooling Water System,Cooling Water System,1,Cooling Tower,Cooling Tower Unit-3,1,-,-,-,-,-,-,-,-,-,Makeup Water,Ds,Ppm,1,-,-,10000000000,-10000000000,10000000000,-10000000000,10000000000,-10000000000,0,0
502,XD7ZLYBMZ6,LPG_3_Power_CURRENT,Current,Cooling Water System,Cooling Water System,1,Cooling Tower,Cooling Tower Unit-3,1,-,-,-,-,-,-,-,-,-,Power,Current,Amps,1,-,-,10000000000,-10000000000,10000000000,-10000000000,10000000000,-10000000000,0,0
392,ZCNMCY5X5J,LPG_31MAA50CT015BXQ7.OUT,"0-600 DEG C
HP EXH TEMP",Turbine System,Turbine System,1,High Pressure Turbine,Hpt,1,-,-,1,-,-,-,Outlet,Exhaust,1,Crh,Temperature,Degc,1,-,-,10000000000,-10000000000,10000000000,-10000000000,10000000000,-10000000000,19588,459
414,D7RFDMO7HT,LPG_31MAC10CT11AXQ07.OUT,"
LP EXHAUST STEAM TEMP-",Turbine System,Turbine System,1,Low Pressure Turbine,Lpt,1,-,-,1,-,-,1,Outlet,Exhaust,1,Steam,Temperature,Degc,3,-,-,10000000000,-10000000000,10000000000,-10000000000,10000000000,-10000000000,149646,855
413,RZEBJP5ACM,LPG_31MAC11CP001XQ07.OUT,"
LP INLET PRESSURE-",Turbine System,Turbine System,1,Low Pressure Turbine,Lpt,1,-,-,1,-,-,1,Inlet,Inlet,1,Steam,Pressure,Kg/Cm2,1,-,-,10000000000,-10000000000,10000000000,-10000000000,10000000000,-10000000000,167949,3339
224,OR0HXNF6CY,LPG_31MAG01CP003XQ07.OUT,"
CONDENSER PRESSURE-",Condensate Cycle,Condensate Cycle,1,Condenser,Condenser,1,-,-,1,-,-,1,Inlet,Inlet,1,Condensate,Pressure,Kg/Cm2,1,-,-,10000000000,-10000000000,10000000000,-10000000000,10000000000,-10000000000,120879,779
422,BGFQK76T8V,LPG_31MAV42CP016XQ07.OUT,"
LUB OIL PRESSURE-2",Turbine System,Turbine System,1,Oil Supply System,Oil Supply System,1,Lubricating Oil Cooler,Lubricating Oil Cooler,1,-,-,1,Outlet,Outlet,1,Lubricating Oil,Pressure,Kg/Cm2,1,-,-,10000000000,-10000000000,10000000000,-10000000000,10000000000,-10000000000,146878,1873
509,PWWWS2NMHG,LPG_31MKA02FE001XQ7.OUT,"0-180MW
LOAD ACTUAL-",Generator System,Generator System,1,Generator,Generator,1,-,-,1,-,-,1,-,-,1,Power,Load,Mw,1,-,-,10000000000,-10000000000,10000000000,-10000000000,10000000000,-10000000000,166363,4837
391,1INWMFPIKK,LPG_32LBA11CT02AXQ07.OUT,"
LIVE STEAM TEMP-",Turbine System,Turbine System,1,High Pressure Turbine,Hpt,1,-,-,1,-,-,1,Inlet,Inlet-L,1,Main Steam,Temperature,Degc,2,-,-,10000000000,-10000000000,10000000000,-10000000000,10000000000,-10000000000,149182,2533
251,M9IXTA3ITM,LPG_3ACWP101_XQ06.OUT,ACWBP-301 CURRENT,Cooling Water System,Cooling Water System,1,Acw Pump,Acwp - 301,1,Motor,Motor,1,Winding,Motor Winding,1,-,-,1,Power,Current,Amp,1,-,-,10000000000,-10000000000,10000000000,-10000000000,10000000000,-10000000000,147984,2
253,RVCCZZPH9V,LPG_3ACWP102_XQ06.OUT,ACWBP-302 CURRENT,Cooling Water System,Cooling Water System,1,Acw Pump,Acwp - 302,2,Motor,Motor,1,Winding,Motor Winding,1,-,-,1,Power,Current,Amp,1,-,-,10000000000,-10000000000,10000000000,-10000000000,10000000000,-10000000000,147105,10
252,TVJFESKYWL,LPG_3ACWP103_XQ06.OUT,ACWBP-303 CURRENT,Cooling Water System,Cooling Water System,1,Acw Pump,Acwp - 303,3,Motor,Motor,1,Winding,Motor Winding,1,-,-,1,Power,Current,Amp,1,-,,10000000000,-10000000000,10000000000,-10000000000,10000000000,-10000000000,123943,19
442,JM7S6OSNV3,LPG_3AUXSTMFLOWACT.OUT,MS FLOW TO PRDS,Feed Water Cycle,Feed Water Cycle,1,Aprds,Aprds,1,-,-,1,-,-,1,Inlet,Inlet,1,Main Steam,Flow,Tph,1,-,-,10000000000,-10000000000,10000000000,-10000000000,10000000000,-10000000000,210867,1
181,GNBLA2LBSL,LPG_3CCWP101A_XQ07.OUT,CCWP301 -H MtrDEBgVibH,Cooling Water System,Cooling Water System,1,Ccw Pump,Ccw Pump 301,1,Motor,Motor,1,Bearing,Motor Bearing De,1,X-Axis,X-Axis,1,Metal,Vibration,Mm/Sec,1,-,-,10000000000,-10000000000,10000000000,0,10000000000,-10000000000,147729,2
184,EUW9ISIVDP,LPG_3CCWP101B_XQ02.OUT,CCW PMP301 MtrWdgTmp,Cooling Water System,Cooling Water System,1,Ccw Pump,Ccw Pump 301,1,Motor,Motor,1,Winding,Motor Winding,1,-,-,1,Metal,Temperature,Degc,2,-,-,10000000000,-10000000000,10000000000,-10000000000,10000000000,-10000000000,140388,1280
188,MZ3TDN5YKY,LPG_3CCWP101B_XQ06.OUT,CCWP301 -H CURRENT-B,Cooling Water System,Cooling Water System,1,Ccw Pump,Ccw Pump 301,1,Pump,Pump,1,Winding,Motor Winding,1,Phase,B Phase,1,Power,Current,Amp,1,Feedback,-,10000000000,-10000000000,10000000000,-10000000000,10000000000,-10000000000,177756,568
182,D0QEMNPDN6,LPG_3CCWP101B_XQ07.OUT,CCWP301 -H MtrDEBgVibV,Cooling Water System,Cooling Water System,1,Ccw Pump,Ccw Pump 301,1,Motor,Motor,1,Bearing,Motor Bearing De,1,Y-Axis,Y-Axis,1,Metal,Vibration,Mm/Sec,1,-,-,10000000000,-10000000000,10000000000,0,10000000000,-10000000000,150263,2
185,HAWS9GXEND,LPG_3CCWP101E_XQ07.OUT,CCWP301 -H PmpDEBgVibH,Cooling Water System,Cooling Water System,1,Ccw Pump,Ccw Pump 301,1,Pump,Pump,1,Bearing,Pump Bearing De,1,X-Axis,X-Axis,1,Metal,Vibration,Mm/Sec,1,-,-,10000000000,-10000000000,10000000000,0,10000000000,-10000000000,210001,1
